iteration=22|loss_val=0.37480515241622925|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.044565536081790924|dice_val=0.08510646969079971|loss=0.3871156573295593|acc=None|prec=0.0|rec=0.0|jaccard=0.05068346858024597|dice=0.0959685891866684|time=12.937299966812134
iteration=23|loss_val=0.3668043911457062|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.044521428644657135|dice_val=0.08497480303049088|loss=0.3820231854915619|acc=None|prec=0.0|rec=0.0|jaccard=0.0526842325925827|dice=0.0995568335056305|time=13.68197226524353
iteration=24|loss_val=0.3576167821884155|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04359903186559677|dice_val=0.0833834856748581|loss=0.3722155690193176|acc=None|prec=0.0|rec=0.0|jaccard=0.05086387321352959|dice=0.09631919115781784|time=13.126776695251465
iteration=25|loss_val=0.35249704122543335|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.0452800989151001|dice_val=0.08642749488353729|loss=0.3625743091106415|acc=None|prec=0.0|rec=0.0|jaccard=0.049338120967149734|dice=0.09361812472343445|time=13.071407794952393
iteration=26|loss_val=0.3458409309387207|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04583524912595749|dice_val=0.08746717870235443|loss=0.3575413227081299|acc=None|prec=0.0|rec=0.0|jaccard=0.05058437958359718|dice=0.09583915024995804|time=13.47690224647522
iteration=27|loss_val=0.33684656023979187|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04374755918979645|dice_val=0.08362573385238647|loss=0.35005292296409607|acc=None|prec=0.0|rec=0.0|jaccard=0.04965789243578911|dice=0.09420635551214218|time=13.12877368927002
iteration=28|loss_val=0.3320176303386688|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.045070938766002655|dice_val=0.08608970046043396|loss=0.34405410289764404|acc=None|prec=0.0|rec=0.0|jaccard=0.04992213100194931|dice=0.09472417831420898|time=12.930017232894897
iteration=29|loss_val=0.32298192381858826|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04280925542116165|dice_val=0.08193625509738922|loss=0.3369738459587097|acc=None|prec=0.0|rec=0.0|jaccard=0.04935295507311821|dice=0.09367461502552032|time=13.09142780303955
iteration=30|loss_val=0.3195229470729828|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04456046596169472|dice_val=0.08516792207956314|loss=0.3329113721847534|acc=None|prec=0.0|rec=0.0|jaccard=0.049744658172130585|dice=0.09436655044555664|time=13.47254753112793
iteration=31|loss_val=0.31323400139808655|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.0436081700026989|dice_val=0.08338303118944168|loss=0.32645612955093384|acc=None|prec=0.0|rec=0.0|jaccard=0.04900394007563591|dice=0.09308941662311554|time=13.75657844543457
iteration=32|loss_val=0.3084931969642639|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04391610994935036|dice_val=0.08399428427219391|loss=0.32072603702545166|acc=None|prec=0.0|rec=0.0|jaccard=0.048619069159030914|dice=0.09241324663162231|time=13.657519817352295
iteration=33|loss_val=0.3011230528354645|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04249510169029236|dice_val=0.08141564577817917|loss=0.3198587894439697|acc=None|prec=0.0|rec=0.0|jaccard=0.05007774010300636|dice=0.09497881680727005|time=13.545989751815796
iteration=34|loss_val=0.29411160945892334|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04131127521395683|dice_val=0.07920832931995392|loss=0.31314873695373535|acc=None|prec=0.0|rec=0.0|jaccard=0.048789024353027344|dice=0.09269709885120392|time=13.449539422988892
iteration=35|loss_val=0.2916102111339569|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.042577434331178665|dice_val=0.08159644901752472|loss=0.3075680434703827|acc=None|prec=0.0|rec=0.0|jaccard=0.04796324670314789|dice=0.09125948697328568|time=13.650556325912476
iteration=36|loss_val=0.2843106687068939|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04064900428056717|dice_val=0.07804124057292938|loss=0.30152714252471924|acc=None|prec=0.0|rec=0.0|jaccard=0.04708097502589226|dice=0.08960665762424469|time=13.597897291183472
iteration=37|loss_val=0.2838367223739624|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04213332384824753|dice_val=0.08078327775001526|loss=0.2972062826156616|acc=None|prec=0.0|rec=0.0|jaccard=0.04666416347026825|dice=0.08886401355266571|time=13.550331830978394
iteration=38|loss_val=0.28017371892929077|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.042556311935186386|dice_val=0.08156795799732208|loss=0.2956664264202118|acc=None|prec=0.0|rec=0.0|jaccard=0.04750062897801399|dice=0.09043076634407043|time=13.712484359741211
iteration=39|loss_val=0.27253761887550354|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04073813557624817|dice_val=0.07823310792446136|loss=0.29212436079978943|acc=None|prec=0.0|rec=0.0|jaccard=0.047060295939445496|dice=0.0896645188331604|time=13.5620698928833
iteration=40|loss_val=0.2695392072200775|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04082203283905983|dice_val=0.0783914178609848|loss=0.28907129168510437|acc=None|prec=0.0|rec=0.0|jaccard=0.04675590619444847|dice=0.08910083770751953|time=13.699377059936523
iteration=41|loss_val=0.2649195194244385|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04010153189301491|dice_val=0.07707108557224274|loss=0.28497493267059326|acc=None|prec=0.0|rec=0.0|jaccard=0.046118441969156265|dice=0.08792257308959961|time=13.307586431503296
iteration=42|loss_val=0.2626994848251343|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04016935080289841|dice_val=0.07719042152166367|loss=0.2791556119918823|acc=None|prec=0.0|rec=0.0|jaccard=0.045090653002262115|dice=0.08609025180339813|time=13.230113506317139
iteration=43|loss_val=0.25623083114624023|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03884633630514145|dice_val=0.07477652281522751|loss=0.2795462906360626|acc=None|prec=0.0|rec=0.0|jaccard=0.0457918643951416|dice=0.0873589888215065|time=13.20592737197876
iteration=44|loss_val=0.2547544538974762|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03937957435846329|dice_val=0.07572712004184723|loss=0.2751849293708801|acc=None|prec=0.0|rec=0.0|jaccard=0.045181091874837875|dice=0.08630047738552094|time=13.36564826965332
iteration=45|loss_val=0.2536308765411377|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03899053856730461|dice_val=0.07500280439853668|loss=0.2733175456523895|acc=None|prec=0.0|rec=0.0|jaccard=0.04485231265425682|dice=0.08564675599336624|time=13.153433799743652
iteration=46|loss_val=0.2514492869377136|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03974562883377075|dice_val=0.07646594941616058|loss=0.2675437033176422|acc=None|prec=0.0|rec=0.0|jaccard=0.043862536549568176|dice=0.08390302956104279|time=13.168214321136475
iteration=47|loss_val=0.24743147194385529|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03894607350230217|dice_val=0.07496584206819534|loss=0.2655712962150574|acc=None|prec=0.0|rec=0.0|jaccard=0.04366473853588104|dice=0.08356322348117828|time=13.59816861152649
iteration=48|loss_val=0.2514382302761078|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.04059130698442459|dice_val=0.07798932492733002|loss=0.26321884989738464|acc=None|prec=0.0|rec=0.0|jaccard=0.043508101254701614|dice=0.083275705575943|time=13.684848308563232
iteration=49|loss_val=0.24099352955818176|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03756972402334213|dice_val=0.07244357466697693|loss=0.2646109163761139|acc=None|prec=0.0|rec=0.0|jaccard=0.04376014694571495|dice=0.0837467610836029|time=13.611628293991089
iteration=50|loss_val=0.2410011738538742|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03834281116724014|dice_val=0.07386509329080582|loss=0.26343655586242676|acc=None|prec=0.0|rec=0.0|jaccard=0.043519288301467896|dice=0.08326444029808044|time=13.296350240707397
iteration=51|loss_val=0.24023033678531647|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03834187239408493|dice_val=0.0739157572388649|loss=0.2572694718837738|acc=None|prec=0.0|rec=0.0|jaccard=0.042170505970716476|dice=0.08081378042697906|time=13.343111753463745
iteration=52|loss_val=0.23811310529708862|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03748352825641632|dice_val=0.07226140797138214|loss=0.25614556670188904|acc=None|prec=0.0|rec=0.0|jaccard=0.04189657047390938|dice=0.080342598259449|time=13.036222457885742
iteration=53|loss_val=0.2360742688179016|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03767261281609535|dice_val=0.07265348732471466|loss=0.2560976445674896|acc=None|prec=0.0|rec=0.0|jaccard=0.04198562726378441|dice=0.0804932713508606|time=13.231008529663086
iteration=54|loss_val=0.22964651882648468|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.0362374447286129|dice_val=0.06999818980693817|loss=0.25296008586883545|acc=None|prec=0.0|rec=0.0|jaccard=0.04163701459765434|dice=0.07986853271722794|time=13.781643629074097
iteration=55|loss_val=0.2288053035736084|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03619682788848877|dice_val=0.06992217898368835|loss=0.24994243681430817|acc=None|prec=0.0|rec=0.0|jaccard=0.0407097302377224|dice=0.07820481806993484|time=13.84081482887268
iteration=56|loss_val=0.22772811353206635|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03634512051939964|dice_val=0.07022099196910858|loss=0.2531650960445404|acc=None|prec=0.0|rec=0.0|jaccard=0.04147942364215851|dice=0.07960880547761917|time=13.592174530029297
iteration=57|loss_val=0.22801551222801208|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.036609433591365814|dice_val=0.0707126036286354|loss=0.24751700460910797|acc=None|prec=0.0|rec=0.0|jaccard=0.04049855098128319|dice=0.07783973962068558|time=13.913134574890137
iteration=58|loss_val=0.229156494140625|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03636874258518219|dice_val=0.07025657594203949|loss=0.2467769980430603|acc=None|prec=0.0|rec=0.0|jaccard=0.040077392011880875|dice=0.0770835280418396|time=13.854932069778442
